Fastfood,Food,Type,Serving Size,Calorie,Total Fat,Saturated Fat,Trans Fat,Carbs,Sodium 
A&W,French Fries Large,Chili Cheese,198,400,19,5,4,51,990
A&W,French Fries Large,Cheese,170,380,19,5,4,50,870
A&W,French Fries Large,Chili,170,370,16,4.5,6,49,780
A&W,French Fries Large,Regular,156,430,18,4.5,5.5,61,640
Arby's,French Fries Large,Homestyle,213,566,37,7,1,82,1029
Arby's,French Fries Large,Curly,198,631,37,7,1,73,1476
Burger King,French Fries Large,Salt Not Added,160,500,28,6,6,57,530
Burger King,French Fries Large,Regular,160,500,28,6,6,57,820
Carl's Jr.,French Fries Large,Regular,198,620,29,6,Unknown,80,380
Dairy Queen,French Fries Large,Regular,280,730,33,6,5,100,1530
Del Taco,French Fries Large,Regular,198,490,32,5,Unknown,47,380
Hardee's,French Fries Large,Regular,193,610,28,6,Unknown,78,370
Hardee's,French Fries Large,Crispy Curls,153,480,23,6,Unknown,60,1190
In-N-Out Burger**,French Fries Large,Regular**,125**,400**,18**,5**,0**,54**,245**
Jack In The Box,French Fries Large,Natural Cut,236,640,33,8,10,77,1180
Jack In The Box,French Fries Large,Seasoned Curly,170,550,31,6,10,60,1200
KFC*,French Fries Large,Potato Wedges*,102*,260*,13*,2.5*,0*,33*,740*
McDonald's,French Fries Large,Regular,170,570,30,6,8,70,330
Popeyes**,French Fries Large,Regular**,88**,310**,17**,7**,1**,35**,660**
Sonic,French Fries Large,Chili/Cheese,186,450,25,9,0.5,48,610
Sonic,French Fries Large,Cheese,125,380,19,7,0,44,600
Sonic,French Fries Large,Regular,98,280,11,2,0,42,135
Wendy's,French Fries Large,Regular,Unknown,540,26,4,1,69,550
White Castle,French Fries Large,Regular,244,700,34,6,11,89,560
Burger King,Hamburger,Regular,121,290,12,4.5,0,30,560
Carl's Jr,Hamburger,Big Hamburger,209,470,17,6,Unknown,54,1060
Dairy Queen,Hamburger,Homestyle Burger,140,350,14,7,0.5,33,400
Hardee's,Hamburger,Regular,118,310,12,4,Unknown,36,560
In-N-Out Burger,Hamburger,Regular,243,390,19,5,0,39,650
Jack in the Box,Hamburger,Regular,118,310,14,6,1,30,600
McDonald's,Hamburger,Regular,100,250,9,3.5,0.5,31,520
Sonic,Hamburger,Jr. Burger,117,310,15,5,0.5,30,610
Wendy's,Hamburger,Jr. Hamburger,Unknown,230,8,3,0,26,500
White Castle,Hamburger,Regular,58,140,7,2.5,0.5,14,210
McDonald's,Hamburger,Quarter Pounder,169,410,19,7,1,37,730
McDonald's,Hamburger,Quarter Pounder (cheese),198,510,26,12,1.5,40,1190
McDonald's,Hamburger,Double Quarter Pounder (cheese),279,740,42,19,2.5,40,1380
McDonald's,Hamburger,Big Mac,214,540,29,10,1.5,43,1040
McDonald's,Hamburger,Double Cheeseburger,165,440,23,11,1.5,34,1150
McDonald's,Hamburger,Big N' Tasty,206,460,24,8,1.5,37,720
McDonald's,Hamburger,Big N' Tasty (cheese),220,510,28,11,1.5,38,960
Burger King,Hamburger,Whopper,290,670,39,11,1.5,51,1020
Burger King,Hamburger,Whopper (cheese),315,760,47,16,1.5,52,1450
Burger King,Hamburger,Double Whopper,373,900,57,19,2,51,1090
Burger King,Hamburger,Double Whopper (cheese),398,990,64,24,2.5,52,1520
Burger King,Hamburger,Triple Whopper,456,1130,74,27,3,51,1160
Burger King,Hamburger,Triple Whopper (cheese),480,1230,82,32,3.5,52,1590
Burger King,Hamburger,Whopper Jr.,158,370,21,6,0.5,31,570
Burger King,Hamburger,Whopper Jr. (cheese),170,410,24,8,1,32,780
Burger King,Hamburger,Double Hamburger,164,410,21,9,1,30,600
Burger King,Hamburger,Double Stacker,190,610,39,16,1.5,32,1100
Burger King,Hamburger,Triple Stacker,250,800,54,23,2,33,1450
Burger King,Hamburger,Quad Stacker,311,1000,68,30,3,34,1800
Burger King,Hamburger,Double Cheeseburger,189,500,29,14,1.5,31,1030
Wendy's,Hamburger,Single,Unknown,430,20,7,1,37,900
Wendy's,Hamburger,Double (cheese),Unknown,700,40,16,2.5,38,1500
Wendy's,Hamburger,Triple (cheese),Unknown,980,59,25,3.5,38,2090
Wendy's,Hamburger,Baconator,Unknown,830,51,22,2.5,35,1920
Hardee's,Hamburger,Thickburger,349,910,64,21,Unknown,53,1560
Hardee's,Hamburger,Cheeseburger,254,680,39,19,Unknown,52,1450
Hardee's,Hamburger,Mushroom N' Swiss Thickburger,276,720,42,21,Unknown,48,1570
Hardee's,Hamburger,Bacon Cheese Thickburger,334,910,64,24,Unknown,50,1550
Hardee's,Hamburger,Low Carb Thickburger,245,420,32,12,Unknown,5,1010
